DOY,Genus,Genus_Biomass,total_biomass
149,Dolichospermum,2.66,490.81
149,Planktothrix,1.34,490.81
154,Dolichospermum,15.74,495.14
154,Planktothrix,0,495.14
163,Dolichospermum,1009.92,1430.3799999999999
163,Planktothrix,20.36,1430.3799999999999
170,Dolichospermum,27.28,123.62
170,Planktothrix,0,123.62
186,Dolichospermum,1922.09,2554.38
186,Planktothrix,0,2554.38
191,Dolichospermum,11630.81,12587.13
191,Planktothrix,248.81,12587.13
198,Dolichospermum,28.12,45.81
198,Planktothrix,0,45.81
210,Dolichospermum,1666.97,9497.89
210,Planktothrix,0,9497.89
219,Dolichospermum,11848.98,17944.26
219,Planktothrix,0,17944.26
227,Dolichospermum,3410.21,7331.860000000001
227,Planktothrix,631.08,7331.860000000001
233,Dolichospermum,3649.93,15555.210000000001
233,Planktothrix,282.74,15555.210000000001
242,Dolichospermum,690.25,6007.2300000000005
242,Planktothrix,501.88,6007.2300000000005
246,Dolichospermum,975.16,17187.829999999998
246,Planktothrix,4282.73,17187.829999999998
256,Dolichospermum,1769.74,15883.05
256,Planktothrix,8593.42,15883.05
260,Dolichospermum,236.99,10038.7
260,Planktothrix,6412.64,10038.7
269,Dolichospermum,360.35,16814.65
269,Planktothrix,12876.12,16814.65
276,Dolichospermum,29.45,21122.370000000003
276,Planktothrix,18627.08,21122.370000000003
